name,region,category,source_route,url_or_ref,active_evidence,owner_led,reservation,claim_risk,demo_fit,grade,reason
ねむの森,久留米市荘島町,ドライヘッドスパ,IG+portal,IG @nemunomori / HotPepper slnH000434912 / tel070-1257-8844,"yes(IG active, listed)",likely(専門店),HotPepper+tel,low(揉みほぐし/疲れOUT),high(weak/absent own-LP),A,"active head-spa専門店, clear menu(45m¥3600), reservation, low claim, weak own-LP=demo-fit. Final A pending IG-recency + confirm no own-site."
アロマセラピールームYOU香里,久留米市,アロマ,portal(EPARK/mitsuraku),mitsuraku kurume aroma listing,listed(needs recency),"yes(個人宅ログハウス, アットホーム)",portal/needs route confirm,needs check,med-high(home salon atmosphere),B,"owner-led home aroma salon (ログハウス一室, 初回¥5500). Enrich: own-site/IG, reservation route, claim-free confirm."
エフフォーリア,筑後市,黄土よもぎ蒸し/ヘッドスパ/リンパ/オイル(女性専門),portal,筑後 女性専門 salon (search ref),listed,likely(女性専門 multi-service),needs check,med(yomogi/lymph; avoid 妊活/痩身 framing),med-high,B,relaxation/yomogi女性専門. Enrich own-site/IG + freshness; ensure claim-free (no 妊活/改善).
リンパ&よもぎ蒸し 温々(onon),筑後市,リンパ/よもぎ蒸し,portal(EPARK),mitsuraku.jp/salon/91135,listed,unknown,portal,med,med,B,Enrich: confirm active + owner-led + own-site/IG; claim-free check.
よもぎ蒸しサロン108,(要確認/筑後圏),よもぎ蒸し,reservation(coubic),coubic.com/yomogi108/services,reservation calendar,unknown,coubic,med,med,C,Confirm exact location (in target core?) + own-site/IG before promoting.
(無名)完全プライベートサロン[女性限定],鳥栖市本町,フェイシャル/オイル/リンパ,portal(HotPepper),HotPepper 鳥栖 private salon,listed,likely,HotPepper,med(facial; avoid 小顔/効果),med,C,"Portal-only, name/own-site unknown. Needs identification + enrich."
YOSAPARK OHANA,小郡市,YOSA(よもぎ)private,portal,小郡 private appointment salon,listed,likely(home-y),portal,low-med,med,C,YOSA-affiliated; verify owner-led vs franchise + own-site before B.
(無名)アロマリンパ&cupping[女性専用],小郡市,アロマリンパ/cupping,portal(ekiten/rakuten),小郡 4.25star/19reviews,listed,likely,portal,med,med,C,"Portal-only, name/own-site unknown. Identify + enrich."
HARENOHISPA,筑後圏(要確認),リンパ&よもぎ蒸し専門,portal(EPARK),mitsuraku.jp/salon/92674,listed,unknown,portal,med,med,C,Thin portal info; verify location/active/own-site.
cocoroりらく,田川市(NOT core),黄土よもぎ蒸し/リンパ,IG+EC+reserva,IG @cocoro.riraku / cocororiraku.official.ec / reserva(403),active,yes,reserva/EC,HIGH: 妊活サポート claim,-,Exclude,"Location mismatch (田川, outside 久留米/筑後/小郡/八女/鳥栖) + 妊活 treatment-adjacent claim (Yu decision 5)."
夢咲サロン Lifesalon,佐賀+久留米(chain),リラク/リンパ/リフレ,own-site,yumesakisalon.com,page INACTIVE('ページが有効ではありません'),NO(multi-location chain + FC franchise),form,-,-,Exclude,Multi-location chain + inactive page + franchise recruiting = not owner-led personal salon.
よもぎ蒸しサロン アロマリンパ美月,岐阜県揖斐郡池田町(NOT core),よもぎ蒸し/リンパ,portal,mitsuraku.jp/salon/87329,listed,yes,PeakManager,HIGH: 婦人科系/ダイエット,-,Exclude,Location mismatch (Gifu) + 婦人科系/ダイエット treatment-adjacent.
forestmoon,"浜田山(東京杉並, NOT core)",アロマ/リンパ/よもぎ,own-site,forestmoon.jp,active,yes,own-site,-,-,Exclude,Location mismatch (Tokyo).
癒しドライヘッドスパ専門店 赤ずきん,久留米市三瀦町,ドライヘッドスパ,existing pipeline,"akazukin (existing demo, deployed)",yes,yes,LINE/tel/IG/HotPepper,handled(claim-free demo done),-,Exclude(dup),DUPLICATE: already in our pipeline (akazukin demo deployed). Do not re-collect/regenerate.
