name,region,category,source_route,url_or_ref
ねむの森,久留米市荘島町,ドライヘッドスパ,IG+portal,IG @nemunomori / HotPepper slnH000434912 / tel070-1257-8844
アロマセラピールームYOU香里,久留米市,アロマ,portal(EPARK/mitsuraku),mitsuraku kurume aroma listing
エフフォーリア,筑後市,黄土よもぎ蒸し/ヘッドスパ/リンパ/オイル(女性専門),portal,筑後 女性専門 salon (search ref)
リンパ&よもぎ蒸し 温々(onon),筑後市,リンパ/よもぎ蒸し,portal(EPARK),mitsuraku.jp/salon/91135
よもぎ蒸しサロン108,(要確認/筑後圏),よもぎ蒸し,reservation(coubic),coubic.com/yomogi108/services
(無名)完全プライベートサロン[女性限定],鳥栖市本町,フェイシャル/オイル/リンパ,portal(HotPepper),HotPepper 鳥栖 private salon
YOSAPARK OHANA,小郡市,YOSA(よもぎ)private,portal,小郡 private appointment salon
(無名)アロマリンパ&cupping[女性専用],小郡市,アロマリンパ/cupping,portal(ekiten/rakuten),小郡 4.25star/19reviews
HARENOHISPA,筑後圏(要確認),リンパ&よもぎ蒸し専門,portal(EPARK),mitsuraku.jp/salon/92674
cocoroりらく,田川市(NOT core),黄土よもぎ蒸し/リンパ,IG+EC+reserva,IG @cocoro.riraku / cocororiraku.official.ec / reserva(403)
夢咲サロン Lifesalon,佐賀+久留米(chain),リラク/リンパ/リフレ,own-site,yumesakisalon.com
よもぎ蒸しサロン アロマリンパ美月,岐阜県揖斐郡池田町(NOT core),よもぎ蒸し/リンパ,portal,mitsuraku.jp/salon/87329
forestmoon,"浜田山(東京杉並, NOT core)",アロマ/リンパ/よもぎ,own-site,forestmoon.jp
癒しドライヘッドスパ専門店 赤ずきん,久留米市三瀦町,ドライヘッドスパ,existing pipeline,"akazukin (existing demo, deployed)"
