lead_id,business_name,category,city,rank,demo_created,demo_url_or_path,public_demo_url,deployed,slack_card_sent,qa_score,send_readiness,outreach_draft_created,Yu_review_status,sent,sent_date,reply_status,notes
sz01,すやツヤ,ヘッドスパ,浜松市,B,0,,,,,,,0,pending,0,,,demo-fit低(既にモダンサイト)→demo候補から除外寄り
sz02,香りの小瓶,アロマ,浜松市,C,0,,,,,,,0,pending,0,,,school寄り要確認
sz03,癒薫,アロマ&エステ,静岡市,C,0,,,,,,,0,pending,0,,,美容claims要確認
sz04,Salonミルフィオリ,リラク/アロマ,静岡市,C,0,,,,,,,0,pending,0,,,URL未取得
sz05,ル・アンフレ,アロマ,静岡市,C,0,,,,,,,0,pending,0,,,物販寄り要確認
sz06,浜松青空,ヘッドスパ,浜松市,C,0,,,,,,,0,pending,0,,,URL未取得
sz07,人宿町アロマ隠れ家,アロマ,静岡市,C,0,,,,,,,0,pending,0,,,屋号/URL未確定
sz08,静岡自宅サロン,アロマ/フェイシャル,静岡市,C,0,,,,,,,0,pending,0,,,屋号未確定/痩身併記要確認
sz09,癒しの部屋らふぁえる,リフレ/アロマ,浜松市,B,0,,,,,,internal-only,0,pending,0,,,demo候補(clean-copyで改善表現回避)
sz10,凛灯,アロマ,浜松市,C,0,,,,,,send-forbidden,0,pending,0,,,school/スピ寄り→park
sz11,クラール,アロマ,清水町,C,0,,,,,,unknown,0,pending,0,,,peraichi403で未検証
sz12,河音,ヘッドスパ,浜松市,C,0,,,,,,unknown,0,pending,0,,,URL 404
sz15,Cocoro,アロマ,三島市,Exclude,0,,,,,,send-forbidden,0,pending,0,,,休業中
sz16,にーず,アロマ,兵庫,Exclude,0,,,,,,send-forbidden,0,pending,0,,,対象外region
akazukin,赤ずきん,ドライヘッドスパ,久留米市,A,1,generated_demos/real_salon_drafts/20260618/akazukin/,https://fastidious-unicorn-448392.netlify.app/akazukin/,1,1,design9/safety-PASS,READY_FOR_YU_REVIEW(not send-ready: stock photos/placeholder menu/dev banner),1,pending,0,,,"claim-free・価格/写真要差し替え・private preview | public demo deployed (noindex, reachable); draft banner+photos+menu to fix before send; Yu manual send only | image-perf optimized (WebP+lazy+preload, ~3MB→93KB mobile), re-deployed, sent=0 | public cleanup: internal labels/draft/sample/要確認 removed from visitor HTML, bottom simplified (final CTA+modest note+quiet footer), re-deployed, sent=0 | hero hierarchy fix: store name promoted in hero body, re-deployed, sent=0 | color-token version deployed to public production (#3a322c semantic text token), sent=0 | hero overlay + warm text deployed to public production (Lane A), sent=0 | reveal fallback + mobile ドライヘッドスパ wrap fix deployed to public production, sent=0"
pear,Pear,リンパ/よもぎ,久留米市,B,1,generated_demos/real_salon_drafts/20260618/pear/,https://fastidious-unicorn-448392.netlify.app/pear/,1,1,design9/safety-PASS,READY_FOR_YU_REVIEW(not send-ready: stock photos/placeholder menu/dev banner),1,pending,0,,,"relaxation限定claim-free・価格/写真要差し替え | public demo deployed (noindex, reachable); draft banner+photos+menu to fix before send; Yu manual send only"
nemunomori,ねむの森,ドライヘッドスパ,久留米市,A,1,generated_demos/real_salon_drafts/20260618/nemunomori/,https://fastidious-unicorn-448392.netlify.app/nemunomori/,1,0,design8.6/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: stock photos/full menu/IG recency unknown),1,pending,0,,,claim-free・45分¥3600のみ掲載・写真権利/フルメニュー/IG recency to confirm・public production deployed (WebP+lazy+preload)・sent=0
petite_salon_h,Petite Salon H,リンパ/リフレ/ヘッドスパ/フェイシャル,久留米市,A,1,generated_demos/real_salon_drafts/20260618/petite_salon_h/,https://fastidious-unicorn-448392.netlify.app/petite_salon_h/,1,0,design8.8/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: prices/photos/IG recency unknown),1,manual_send_ready,1,2026-06-19,waiting,claim-free・public production deployed (Lane A)・no prices・baseline photos・real menu/photo rights/IG recency to confirm・sent=0 | 20260619 manual_send_validation: send_route=email/Jimdoお問い合わせ(petit-saron-h.jimdofree.com)+online booking+LINE・MANUAL_SEND_READY・Yu manual send only | 2026-06-19 14:02 JST: Yu MANUAL form submit via official_contact_form (Jimdo お問い合わせ); system did NOT submit (auto-submit blocked at CAPTCHA); CAPTCHA solved by Yu; FIRST market contact; message_version=standard_v1 [UNCONFIRMED: Yu requested warm_claim_safe_v1, warm template deployed 14:19 AFTER 14:02 send — confirm body]; reply_status=waiting; no auto follow-up
rakkun,らっくん,リラクゼーション,久留米市,A,1,generated_demos/real_salon_drafts/20260618/rakkun/,https://fastidious-unicorn-448392.netlify.app/rakkun/,1,0,design8.7/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: prices/photos/IG recency unknown),1,manual_send_ready,1,2026-06-19,waiting,claim-free・private/noindex local draft only・no prices・baseline photos・tel/LINE/email route text・real menu/photo rights/IG recency to confirm・public production deployed・sent=0 | 20260619 manual_send_validation: send_route=email/Jimdoお問い合わせ(rakkun.jimdofree.com) — owner prefers mail/LINE (日中電話不可)・MANUAL_SEND_READY・Yu manual send only | 2026-06-19 14:55 JST: Yu MANUAL form submit via official_contact_form (Jimdo ご予約-お問い合わせ); system did NOT submit; SECOND market contact; message_version=standard_v1 [UNCONFIRMED: handoff modal showed OLD wording at send time per warm_template_fix; Yu requested warm_claim_safe_v1 — confirm body]; reply_status=waiting; no auto follow-up
medelu,medelu（メデル）,よもぎ蒸し,小郡市,A,1,generated_demos/real_salon_drafts/20260618/medelu/,https://fastidious-unicorn-448392.netlify.app/medelu/,1,0,design8.7/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: photo-rights/full-menu/hours/Yu approval unknown),1,pending,0,,,claim-free・private/noindex local draft only・known よもぎ蒸し30分¥3500・baseline WebP・LINE/Instagram @medelu_salon route・sent=0・deployed=0
sonno,Sonno,ドライヘッドスパ,久留米市,A,1,generated_demos/real_salon_drafts/20260618/sonno/,https://fastidious-unicorn-448392.netlify.app/sonno/,1,0,design8.8/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: baseline photos/photo-rights/full-menu/hours/Yu approval unknown),1,pending,0,,,claim-free・private/noindex local draft only・known あたまほぐし¥6600/アロマヘッドスパ80分¥7150・baseline WebP・Square/Instagram @sonno_221022 route・sent=0・deployed=0
osaji,osaji,よもぎ蒸し,八女市,A,1,generated_demos/real_salon_drafts/20260618/osaji/,https://fastidious-unicorn-448392.netlify.app/osaji/,1,0,design8.7/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: prices/photo-rights/full-menu/hours/Yu approval unknown),1,pending,0,,,claim-free・private/noindex local draft only・no prices・baseline WebP・LINE lin.ee/X53B30t/Instagram @osaji_yomogi route・sent=0・deployed=0
mainte,Mainte（マインテ）,ドライヘッドスパ,八女市,A,1,generated_demos/real_salon_drafts/20260618/mainte/,https://fastidious-unicorn-448392.netlify.app/mainte/,1,0,design8.7/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: HotPepper URL/photo-rights/hours/Yu approval unknown),1,pending,0,,,claim-free・private/noindex local draft only・ドライヘッドスパ/アロマリンパのみ・no prices・baseline WebP・LINE lin.ee/w2FZAcb/Instagram @mainte_headspa route・HotPepper URL要再確認・IG鮮度・sent=0・deployed=0
kutsurogi,くつろぎ,よもぎ蒸し/リンパ,小郡市,B,1,generated_demos/real_salon_drafts/20260618/kutsurogi/,https://fastidious-unicorn-448392.netlify.app/kutsurogi/,1,0,design8.7/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: prices/photo-rights/full-menu/hours/Yu approval unknown),1,review_before_send,0,,,claim-free・private/noindex local draft only・no prices・baseline WebP・LINE @483tefmt/formzu/Instagram @setsuko.mimi route・sent=0 | 20260619 manual_send_validation: send_route=formフォーム(ws.formzu.net/fgen/S186503036/)+LINE・REVIEW_BEFORE_SEND (Grade B / claim-sensitive category — review copy before send)・Yu manual send only
lagurus,Lagurus（ラグラス）,ドライヘッドスパ/アロマ,鳥栖市,B,1,generated_demos/real_salon_drafts/20260618/lagurus/,https://fastidious-unicorn-448392.netlify.app/lagurus/,1,0,design8.7/safety-PASS,READY_FOR_CLAUDE_REVIEW(not send-ready: photo-rights/hours/Yu approval unknown),1,pending,0,,,claim-free・private/noindex local draft only・known ドライヘッドスパ40分¥3500/アロマ90分¥4950・baseline WebP・HotPepper/Instagram @salonlagurus.tosu route・sent=0・deployed=0
