business_name,city,category,rank,source_url,official_site_url,instagram_url,portal_or_maps_url,contact_url,reservation_route,active_evidence,own_lp_strength,owner_led,claim_risk,risky_words_found,demo_fit_reason,missing_info,exclude_risk,duplicate_check,recommended_action,notes
赤ずきん(ドライヘッドスパ),久留米市,ドライヘッドスパ,A,http://akazukin2018.com/,http://akazukin2018.com/,lit.link,,(verify read-only),form/tel/hotpepper,営業時間/住所/駐車場あり=active,site,元看護師ヘッドマイスター=owner明確,low,,5,メニュー詳細/価格/写真権利,,DUP of akazukin,skip(dup),dry-head-spa(低claim)+築150年古民家=世界観強+独立owner+自前サイト弱(TLS不正)=demo-fit高。ただしTLSでfetch検証不可
Pear/ペア,久留米市,リンパ/よもぎ蒸し,B,https://pear-salon.jimdofree.com/,https://pear-salon.jimdofree.com/,@pear_salon.hi_ko,,(verify read-only),form/LINE/IG,更新/campaign/予約=active,jimdo/own-LP,体験談owner=明確,med,よもぎ/漢方蒸し,4,価格/メニュー詳細,,DUP of pear,skip(dup),active+写真+連絡多数=良。ただし妊活/不調framing→demoはrelaxation(リンパ/よもぎ)に限定しclaim-free。wax(脱毛)は副次
ドライヘッドスパ ねむの森,久留米市,ドライヘッドスパ,B,,,,,(verify read-only),tel(070-1257-8844),駅近/フリータイム空間=active,none,unknown,low,,4,own-site/IG/menu/photo,,DUP of nemunomori,skip(dup),dry-head-spa・駅近・くつろぎ空間。自前サイト/写真/owner情報が未取得
Asuca黄土漢方蒸し専門店,久留米市,よもぎ蒸し(黄土漢方),B,,,,,(verify read-only),reserve,一室貸切/完全個室=active,none,unknown,med,よもぎ/漢方蒸し,4,own-site/menu/photo/claims,,new,enrich,完全個室プライベートよもぎ蒸し。漢方=軽いclaim注意。own-site未取得
Lian(リアン),久留米市,リンパ/よもぎ/ヘッドスパ,B,,,,,(verify read-only),—,専門店記載=active?,none,unknown,low,よもぎ/漢方蒸し,4,屋号確定/URL/menu,,new,enrich,リンパ&よもぎ蒸し専門店。情報薄・URL未取得
ゆるりら・うるる,久留米市,ドライヘッドスパ,C,,,,,(verify read-only),—,オールハンド人気=active?,none,unknown,low,,3,URL/詳細,,new,record,オールハンド・dry-head-spa。情報薄
ANA(福岡女性専用出張アロマ),福岡/久留米,アロマ(出張),Exclude,https://fukuoka-aroma.jimdosite.com/,https://fukuoka-aroma.jimdosite.com/,,,(verify read-only),—,出張=active?,jimdo/own-LP,unknown,low,,1,—,,new,EXCLUDE(visiting),出張(visiting)主体=店舗booking-LP適合低
HALE/clary-clary,久留米市,ヒーリング,Exclude,https://ameblo.jp/clary-clary/,https://ameblo.jp/clary-clary/,,,(verify read-only),—,active,site,owner明確,high,,2,—,ヒーリング,new,EXCLUDE,女性性覚醒/子宮ヒーリング/自分開花=強スピリチュアル
ReBe,久留米市,エステ/痩身/美顔,Exclude,https://rebe-este.com/,https://rebe-este.com/,,,(verify read-only),reserve,完全予約女性専用=active,site,unknown,high,,3,—,痩身,new,EXCLUDE,痩身/美顔エステ=痩身・美容効果訴求リスク高
YOSAPARK OHANA,筑後/八女エリア,よもぎ/ハーブ,Exclude,,,,,(verify read-only),reserve,active,none,—,med,よもぎ/漢方蒸し,2,—,YOSAPARK,new,EXCLUDE,YOSAPARK=フランチャイズ/チェーン感
tinycell,久留米市,アロマSCHOOL,Exclude,https://tinycell.jimdofree.com/,https://tinycell.jimdofree.com/,,,(verify read-only),—,active,jimdo/own-LP,—,low,,1,—,SCHOOL,new,EXCLUDE,スクール主体
Aroma Yuly,要確認,アロマ,C,https://aroma-yuly.jimdosite.com/,https://aroma-yuly.jimdosite.com/,,,(verify read-only),—,unknown,jimdo/own-LP,unknown,unknown,,2,region/verify,,new,record(bot-block),jimdosite 403でfetch検証不可・地域未確認
