id,brand_name,reference_url,template,image,therapist_image,atmosphere
0493,紫晃舘,https://kimotostudio21.netlify.app/0493/,A,image19.jpg,image30.jpg,modern
0494,開運生活・コア,https://kimotostudio21.netlify.app/0494/,A,image17.jpg,image28.jpg,modern
0495,Fortune Jyujyu,https://kimotostudio21.netlify.app/0495/,A,image19.jpg,image30.jpg,modern
0496,Salon 恵,https://kimotostudio21.netlify.app/0496/,A,image18.jpg,image30.jpg,modern
0497,占い処 カフェバニラ,https://kimotostudio21.netlify.app/0497/,A,image18.jpg,image28.jpg,modern
0498,5SQUARE,https://kimotostudio21.netlify.app/0498/,A,image23.jpg,image30.jpg,modern
0499,Seed of Life,https://kimotostudio21.netlify.app/0499/,A,image20.jpg,image30.jpg,modern
0500,虹の天使,https://kimotostudio21.netlify.app/0500/,A,image23.jpg,image28.jpg,modern
0501,八王子霊感占い ネーネーの部屋,https://kimotostudio21.netlify.app/0501/,A,image19.jpg,image26.jpg,modern
0502,占いサロン 羅扉巣,https://kimotostudio21.netlify.app/0502/,A,image18.jpg,image30.jpg,modern
0503,占い館 華,https://kimotostudio21.netlify.app/0503/,A,image21.jpg,image28.jpg,modern
0504,タロット占い 結,https://kimotostudio21.netlify.app/0504/,A,image20.jpg,image28.jpg,modern
0505,占い処 龍の目,https://kimotostudio21.netlify.app/0505/,A,image21.jpg,image26.jpg,modern
0506,ヒーリングサロン 宙,https://kimotostudio21.netlify.app/0506/,A,image24.jpg,image28.jpg,modern
0507,ヒーリングサロン イモータリティ,https://kimotostudio21.netlify.app/0507/,A,image20.jpg,image28.jpg,modern
0508,立川占い ネーネーの部屋,https://kimotostudio21.netlify.app/0508/,A,image22.jpg,image30.jpg,modern
0509,スピリチュアルカウンセリング 八王子,https://kimotostudio21.netlify.app/0509/,A,image17.jpg,image30.jpg,modern
0510,アポロガーデン ポーチャイ,https://kimotostudio21.netlify.app/0510/,A,image21.jpg,image30.jpg,modern
0511,占いサロン 恵,https://kimotostudio21.netlify.app/0511/,A,image20.jpg,image26.jpg,modern
0512,占い処 カフェバニラ,https://kimotostudio21.netlify.app/0512/,A,image18.jpg,image28.jpg,modern
0513,開運生活・コア,https://kimotostudio21.netlify.app/0513/,A,image17.jpg,image28.jpg,modern
0514,ヒーリングスペース Seed of Life,https://kimotostudio21.netlify.app/0514/,A,image21.jpg,image30.jpg,modern
0515,虹の天使,https://kimotostudio21.netlify.app/0515/,A,image23.jpg,image28.jpg,modern
0516,占いサロン 羅扉巣,https://kimotostudio21.netlify.app/0516/,A,image18.jpg,image30.jpg,modern
0517,ヒーリングサロン 宙,https://kimotostudio21.netlify.app/0517/,A,image24.jpg,image28.jpg,modern
0518,タロット占い 結,https://kimotostudio21.netlify.app/0518/,A,image20.jpg,image28.jpg,modern
0519,調布市,https://kimotostudio21.netlify.app/0519/,A,image23.jpg,image28.jpg,modern
0520,フォア・ネイル,https://kimotostudio21.netlify.app/0520/,A,image22.jpg,image28.jpg,modern
0521,紫微斗数占い 縁,https://kimotostudio21.netlify.app/0521/,A,image19.jpg,image26.jpg,modern
0522,バンブーボックス,https://kimotostudio21.netlify.app/0522/,A,image19.jpg,image26.jpg,modern
0523,癒しのサロン Mahina O Hoku,https://kimotostudio21.netlify.app/0523/,A,image19.jpg,image30.jpg,modern
0524,0学運命分析鑑定室 高柳令瓏,https://kimotostudio21.netlify.app/0524/,A,image17.jpg,image30.jpg,modern
0525,ヒーリングサロン 桜・Sakura,https://kimotostudio21.netlify.app/0525/,A,image24.jpg,image28.jpg,modern
0526,レイキヒーリング 調布,https://kimotostudio21.netlify.app/0526/,A,image21.jpg,image28.jpg,modern
0527,開運アドバイザー 結,https://kimotostudio21.netlify.app/0527/,A,image17.jpg,image26.jpg,modern
0528,占い処 龍の目 調布,https://kimotostudio21.netlify.app/0528/,A,image18.jpg,image26.jpg,modern
0529,ヒーリングサロン 宙,https://kimotostudio21.netlify.app/0529/,A,image24.jpg,image28.jpg,modern
0530,タロット占い 結,https://kimotostudio21.netlify.app/0530/,A,image20.jpg,image28.jpg,modern
0531,チャクラアートヒーリング,https://kimotostudio21.netlify.app/0531/,A,image19.jpg,image26.jpg,modern
0532,算命学体験会,https://kimotostudio21.netlify.app/0532/,A,image18.jpg,image26.jpg,modern
0533,DRT調布,https://kimotostudio21.netlify.app/0533/,A,image22.jpg,image28.jpg,modern
0534,小林マネジメントサービス,https://kimotostudio21.netlify.app/0534/,A,image17.jpg,image28.jpg,modern
0535,開運セラピスト 結,https://kimotostudio21.netlify.app/0535/,A,image21.jpg,image30.jpg,modern
0536,路地裏DE君想う草,https://kimotostudio21.netlify.app/0536/,A,image23.jpg,image28.jpg,modern
0537,真氣光 調布,https://kimotostudio21.netlify.app/0537/,A,image17.jpg,image28.jpg,modern
0538,占い処 龍の目 調布,https://kimotostudio21.netlify.app/0538/,A,image18.jpg,image26.jpg,modern
0539,ヒーリングサロン 宙,https://kimotostudio21.netlify.app/0539/,A,image24.jpg,image28.jpg,modern
0540,レイキヒーリング 調布,https://kimotostudio21.netlify.app/0540/,A,image21.jpg,image28.jpg,modern
0541,開運アドバイザー 結,https://kimotostudio21.netlify.app/0541/,A,image17.jpg,image26.jpg,modern
0542,占い処 龍の目 調布,https://kimotostudio21.netlify.app/0542/,A,image18.jpg,image26.jpg,modern
0543,追加,https://example.com,A,image06.jpg,image26.jpg,elegant
0544,リラクゼーションサロンCitrus,https://example.com,A,image06.jpg,image28.jpg,elegant
0545,アストロウィッチセラピーリブラ,https://example.com,A,image07.jpg,image30.jpg,elegant
0546,東中野心理相談室,https://example.com,A,image03.jpg,image30.jpg,elegant
0547,心理相談室セラペイア,https://example.com,A,image03.jpg,image30.jpg,elegant
0548,カウンセリングルームRE,https://example.com,A,image01.jpg,image26.jpg,elegant
0549,汐見カウンセリングオフィス,https://example.com,A,image03.jpg,image28.jpg,elegant
0550,Beauty Lounge JUNE,https://example.com,A,image04.jpg,image26.jpg,elegant
0551,Session Room LUNA,https://example.com,A,image06.jpg,image26.jpg,elegant
0552,メンタルケアサロン心の翼 馬込店,https://example.com,A,image05.jpg,image30.jpg,elegant
0553,Heart＆Body,https://example.com,A,image06.jpg,image28.jpg,elegant
0554,Rikott,https://example.com,A,image07.jpg,image26.jpg,elegant
0555,Love Light 癒やしサロン蓮,https://example.com,A,image05.jpg,image28.jpg,elegant
0556,Sparkling Self（スパークリングセルフ）,https://example.com,A,image03.jpg,image30.jpg,elegant
0557,Aromatherapy salon碧のしずく,https://example.com,A,image01.jpg,image26.jpg,elegant
0558,腸もみ整体プライベートサロン桜の間,https://example.com,A,image05.jpg,image26.jpg,elegant
0559,カウンセリングルームたま,https://example.com,A,image03.jpg,image30.jpg,elegant
0560,東京南大沢ヒーリングサロンYURURI,https://example.com,A,image05.jpg,image30.jpg,elegant
0561,はこにわサロン東京,https://example.com,A,image05.jpg,image26.jpg,elegant
0562,Healing glows,https://example.com,A,image06.jpg,image26.jpg,elegant
0563,ほけんしつ,https://example.com,A,image06.jpg,image26.jpg,elegant
0564,東京小平の癒し空間 自宅サロンlemongrass/レモングラス,https://example.com,A,image14.jpg,image26.jpg,natural
0565,きもちサロン,https://example.com,A,image08.jpg,image30.jpg,elegant
0566,kokoururu8,https://example.com,A,image05.jpg,image30.jpg,elegant
0567,fumiamie,https://example.com,A,image04.jpg,image30.jpg,elegant
0568,jutolycaroma,https://example.com,A,image01.jpg,image26.jpg,elegant
0569,kewarra-bodyhealing,https://example.com,A,image07.jpg,image26.jpg,elegant
0570,awoke,https://example.com,A,image01.jpg,image30.jpg,elegant
0571,sinsindo,https://example.com,A,image02.jpg,image26.jpg,elegant
0572,Uplift Journey,https://example.com,A,image05.jpg,image28.jpg,elegant
0573,こころとからだの相談室 ほっと,https://example.com,A,image07.jpg,image28.jpg,elegant
0574,ミディアム山影青生（青い三角通信）,https://example.com,A,image05.jpg,image28.jpg,elegant
0575,オンラインヨーガセラピーと気功（氣幸）ヒーリング,https://example.com,A,image08.jpg,image28.jpg,elegant
0576,スピリチュアルヒーリングサロンSHANTI,https://example.com,A,image02.jpg,image30.jpg,elegant
0577,チャネリングCafe 南澤のりこ,https://example.com,A,image04.jpg,image30.jpg,elegant
0578,あさごや,https://example.com,A,image07.jpg,image28.jpg,elegant
0579,スピリチュアルエステサロン『ラ・ファーメ』,https://example.com,A,image06.jpg,image28.jpg,elegant
